date,paper_high,paper_low,our_high,our_low,p_dh,p_dl,p_nn,cost
2011-01-01,0.076009534,0.045067545,0.049612199999999995,0.022689599999999997,0.10315464539735772,0.04633110876154749,0.15,4.194279645819421e-11
2011-07-01,0.056195036,0.06896178,0.0183249,0.0256944,0.019076334936326093,0.04382231206304666,0.15,1.3302497992029316e-10
2012-01-01,0.049238153,0.07979664,0.0265848,0.0509904,0.05623803759774462,0.10274757219376793,0.15,7.872930085639496e-11
2012-07-01,0.062871784,0.060271297,0.039870600000000006,0.033192,0.1037768105402192,0.05289564532047257,0.15,4.353101767939904e-10
2013-01-01,0.078642115,0.04169438,0.05779290000000001,0.0195024,0.14459811228322927,0.021966171951623394,0.15,4.1225584057613673e-10
2013-07-01,0.055646226,0.03807669,0.0453948,0.026462399999999997,0.11558429927251597,0.037098529866662504,0.15,3.42937483965855e-11
2014-01-01,0.0625952,0.029981526,0.0483021,0.0150816,0.11624211773105068,0.004785323639245692,0.15,1.175184949353536e-12
2014-07-01,0.06252019,0.017255628,0.0586245,0.013617599999999999,0.14093198433062643,0.0020202088722227687,0.15,2.2209248329296827e-11
2015-01-01,0.05769096,0.017497793,0.0436227,0.019804799999999997,0.15,0.05423952938872505,0.03877251958683503,9.190320726659706e-11
2015-07-01,0.046500105,0.021028366,0.0469755,0.021191999999999996,0.1354066338405093,0.028037716662688006,0.11732596158593038,1.1323732229673311e-10
2016-01-01,0.021212751,0.039534185,0.021057299999999998,0.0397584,0.0541707491196743,0.0642362996843313,0.13511204210534922,4.0972645415360276e-11
2016-07-01,0.020592013,0.01804266,0.0203247,0.0182832,0.05661950884976804,0.024166369646445002,0.10539176230699644,7.22661167018579e-11
2017-01-01,0.020215146,0.018960657,0.014460600000000002,0.013967999999999998,0.005034271910981011,0.017966339993238444,0.15,8.597636491636251e-13
2017-07-01,0.02954888,0.016457887,0.029647200000000002,0.0168288,0.09789127085749869,0.05921685666812755,0.011809494478093088,1.2620491457449035e-11
2018-01-01,0.011314666,0.016203074,0.011319000000000003,0.016449599999999998,0.01819337442049196,0.037134528522412266,0.09150727763161054,8.115734646818584e-12
2018-07-01,0.012214657,0.0039090356,0.0120021,0.0038783999999999993,0.03566221517869202,0.014006846107366404,0.01848283352720756,7.143796838804395e-12
2019-01-01,0.014345167,0.01135464,0.014279100000000001,0.0117216,0.04434136997780816,0.01456721868258861,0.0803042454276548,1.51143004362142e-11
2019-07-01,0.014328888,0.010748706,0.014262600000000002,0.011073599999999998,0.04553362894644026,0.014976490564772533,0.07439079029663784,1.0933831964821117e-11
2020-01-01,0.007810436,0.04599768,0.0075339000000000005,0.0456432,0.012310292866991122,0.04956890718841984,0.15,2.358888258335856e-11
2020-07-01,0.009667736,0.014856354,0.0095799,0.015292800000000002,0.033806528852084655,0.029212111413969427,0.05849210476102254,2.1359383012287125e-11
2021-01-01,0.03321801,0.014432365,0.0333234,0.014654399999999998,0.09411770530113492,0.055611903011002495,0.019389164647984083,1.2755047018586652e-11
2021-07-01,0.028161136,0.0018828753,0.0278586,0.0019871999999999997,0.07815866362805818,0.003263725853503874,0.02896818160223919,3.227134184879965e-11
2022-01-01,0.046357937,0.0034862864,0.0466851,0.0035375999999999997,0.12585315737817193,0.005555677151346001,0.05047176204196867,2.4227425621248244e-12
2022-07-01,0.042831853,0.009227442,0.0429231,0.0094608,0.09124687935467626,0.004639279607546776,0.12358360634570695,2.320793557331058e-11
2023-01-01,0.03321699,0.050237577,0.0205689,0.0370992,0.0021381935160237567,0.08532238731418786,0.15,1.5412611464871162e-10
2023-07-01,0.04129925,0.07017162,0.0214038,0.0495648,0.027328431972344754,0.10307702862440452,0.15,2.2891750994791238e-10
2024-01-01,0.039484143,0.076439105,0.0245322,0.059784000000000004,0.04434269781094513,0.12679723582456423,0.15,2.8624713710456717e-11
2024-07-01,0.03533267,0.06628492,0.0215655,0.0521808,0.028932202322810997,0.1088103569648754,0.15,1.3217571481760615e-10
2025-01-01,0.034517135,0.07772832,0.0215655,0.060239999999999995,0.04179931245036912,0.11872726465088859,0.15,4.0372297172019955e-10
2025-07-01,0.039651103,0.03704711,0.029551499999999998,0.026736,0.053260822774317915,0.048017138713500655,0.15,8.187923949964926e-11
2026-02-01,0.025607755,0.043435205,0.0224499,0.040799999999999996,0.026943530913518775,0.08538692312888972,0.15,6.995107271201562e-11
