date,paper_high,paper_low,our_high,our_low,p_dh,p_dl,p_nn,cost
2011-01-01,0.10447273,0.07333407,0.0512787,0.0406656,0.018635359723876685,0.07391690832363895,0.15,3.837090645220087e-10
2011-07-01,0.078955315,0.048263114,0.0790152,0.0480144,0.03869624930768112,0.09480948738247494,0.14774606796333817,7.038066240916407e-10
2012-01-01,0.090861976,0.07630992,0.0898524,0.0720432,0.05189932344829634,0.15,0.15,8.321543454314906e-11
2012-07-01,0.11172593,0.12247808,0.1122792,0.06856319999999999,0.06961912210210844,0.15,0.15,6.133721308643203e-11
2013-01-01,0.11880675,0.07478685,0.0997161,0.054024,0.060220009870782576,0.09456342418210378,0.15,4.973133016505926e-11
2013-07-01,0.06751798,0.049770642,0.0664125,0.0488208,0.03548301547580244,0.07137172709129924,0.15,3.6534802960730417e-10
2014-01-01,0.068915345,0.039162952,0.0685212,0.0392064,0.04089884951900709,0.04772357424486528,0.12312810821919029,2.416522537629362e-11
2014-07-01,0.056593172,0.02996836,0.0561231,0.030499199999999997,0.03590586990405186,0.06640714278105173,0.022293520162881,1.1403725186376334e-11
2015-01-01,0.036189854,0.07727034,0.0314919,0.0683808,0.015837616103201793,0.0918535595767262,0.15,5.709154260458149e-10
2015-07-01,0.04458773,0.04621709,0.043952700000000004,0.04627679999999999,0.025887763669880406,0.06790728876737714,0.10338145261155855,5.1251072830105215e-11
2016-01-01,0.024265977,0.09758334,0.0237237,0.0898176,0.013149851340715196,0.15,0.11472630072532389,1.2908141222567338e-09
2016-07-01,0.007408354,0.12861493,0.0080454,0.09825119999999998,0.001,0.15,0.1356219396367254,2.7878893638089153e-10
2017-01-01,0.017205605,0.058690105,0.016849799999999998,0.0590592,0.009237645796447615,0.10808960061583864,0.07339953786277703,5.451129825306822e-11
2017-07-01,0.012590473,0.060356606,0.0123552,0.06032639999999999,0.0032668188070018077,0.08969193997300809,0.13143613365656054,7.258516704355955e-11
2018-01-01,0.012418745,0.02786588,0.0121473,0.028569599999999997,0.006902683841156757,0.05740468106337975,0.03100591039997925,2.571371587878346e-11
2018-07-01,0.013106497,0.09056411,0.013490400000000001,0.0731376,0.009230038277886134,0.15,0.007820185320039068,4.909853634771366e-10
2019-01-01,0.01770864,0.0781475,0.0172491,0.07831199999999999,0.005604212169738619,0.12275729547157077,0.1412484045288758,1.6439150041236417e-09
2019-07-01,0.013559462,0.10990881,0.013500300000000002,0.0894288,0.004764249868589331,0.15,0.12073957765083365,7.352136954796862e-11
2020-01-01,0.016934736,0.09149469,0.0145332,0.08699520000000001,0.004601382792737747,0.12488668045014946,0.15,1.0047002119151216e-10
2020-07-01,0.0038687594,0.15891242,0.0040458000000000004,0.080832,0.001983023816303897,0.15,0.042387964104199934,1.445540475514262e-11
2021-01-01,0.0062452755,0.08003052,0.0061281,0.0721776,0.0010605719799148742,0.15,0.07056900316018028,2.4699839396014056e-11
2021-07-01,0.014485144,0.09857267,0.015513299999999999,0.0525456,0.0010105792444677266,0.15,0.022362946074800834,7.136241375604868e-09
2022-01-01,0.043151546,0.070228,0.0650661,0.047275199999999996,0.001,0.15,0.001,0.0003653810708783567
2022-07-01,0.06024565,0.0740442,0.0650661,0.047275199999999996,0.001,0.15,0.001,3.96375662603532e-06
2023-01-01,0.042226747,0.094866365,0.0650661,0.047275199999999996,0.001,0.15,0.0010214098148714798,0.0003640766371972859
2023-07-01,0.05937094,0.0736636,0.037349400000000005,0.0651984,0.004554398072445648,0.13027208768357817,0.15,1.4922785229742885e-11
2024-01-01,0.059169378,0.054342724,0.058782900000000006,0.054379199999999996,0.025376288429416846,0.1031025555311299,0.14983997665123425,1.446361364010329e-09
2024-07-01,0.040189605,0.050049543,0.03991680000000001,0.050078399999999995,0.018318310548983516,0.10489841147276585,0.1045406262602111,1.0115397408583249e-10
2025-01-01,0.0356716,0.05488256,0.0355014,0.0552192,0.016195482724486725,0.11526836197905543,0.10166904284915389,6.444134115213274e-11
2025-07-01,0.05465597,0.028149951,0.054093600000000006,0.028439999999999997,0.026516703154439446,0.06544588629246079,0.09161107708582568,9.448084675733881e-12
2026-02-01,0.05345872,0.028652886,0.0529419,0.0290928,0.02384158681743718,0.06190755076659933,0.10902371215327192,7.177759775434112e-11
